theDate,labor,liberal,greens,onp,ind
2022-02-06,0.35,0.37,0.09,0.04,0.05
2022-02-12,0.41,0.34,0.08,0.03,0.14
2022-02-13,0.39,0.33,0.12,0.04,0.12
2022-02-20,0.35,0.33,0.1,0.03,0.15
2022-02-20,0.38,0.35,0.09,0.05,0.04
2022-02-23,0.38,0.33,0.13,0.04,0.13
2022-02-26,0.41,0.35,0.09,0.03,0.08
2022-03-03,0.38,0.34,0.12,0.04,0.13
2022-03-06,0.35,0.36,0.1,0.03,0.04
2022-03-12,0.41,0.35,0.08,0.03,0.1
2022-03-13,0.37,0.34,0.12,0.03,0.14
2022-03-20,0.37,0.37,0.09,0.03,0.04
2022-03-20,0.38,0.31,0.12,0.03,0.16
2022-03-27,0.36,0.33,0.13,0.04,0.15
2022-04-02,0.36,0.37,0.1,0.04,0.05
2022-04-02,0.35,0.31,0.1,0.04,0.08
2022-04-03,0.38,0.34,0.11,0.02,0.12
2022-04-03,0.4,0.33,0.11,0.04,0.12
2022-04-03,0.38,0.36,0.1,0.03,0.1
2022-04-10,0.37,0.36,0.1,0.03,0.14
