labels,labor,coalition,hung
2020-01-01,68,77,6
2020-01-08,68,77,6
2020-01-15,71,74,6
2020-01-22,71,74,6
2020-01-29,70,75,6
2020-02-05,75,70,6
2020-02-12,76,69,6
2020-02-19,77,68,6
2020-02-26,76,69,6
2020-03-04,75,70,6
2020-03-11,75,70,6
2020-03-18,76,69,6
2020-03-25,75,70,6
2020-04-01,75,70,6
2020-04-08,74,71,6
2020-04-15,74,71,6
2020-04-22,74,71,6
2020-04-29,71,74,6
2020-05-06,72,73,6
2020-05-13,69,76,6
2020-05-20,69,76,6
2020-05-27,69,76,6
2020-06-03,69,76,6
2020-06-10,69,76,6
2020-06-17,70,75,6
2020-06-24,70,75,6
2020-07-01,70,75,6
2020-07-08,68,77,6
2020-07-15,71,74,6
2020-07-22,67,78,6
2020-07-29,69,76,6
2020-08-05,69,76,6
2020-08-12,68,77,6
2020-08-19,66,79,6
2020-08-26,68,77,6
2020-09-02,68,77,6
2020-09-09,69,76,6
2020-09-16,68,77,6
2020-09-23,67,78,6
2020-09-30,67,78,6
2020-10-07,67,78,6
2020-10-14,66,79,6
2020-10-21,66,79,6
2020-10-28,67,78,6
2020-11-04,69,76,6
2020-11-11,68,77,6
2020-11-18,69,76,6
2020-11-25,69,76,6
2020-12-02,68,77,6
2020-12-09,67,78,6
2020-12-16,69,76,6
2020-12-23,68,77,6
2020-12-30,69,76,6
2021-01-06,69,76,6
2021-01-13,69,76,6
2021-01-20,66,79,6
2021-01-27,69,76,6
2021-02-03,71,74,6
2021-02-10,70,75,6
2021-02-17,72,73,6
2021-02-24,71,74,6
2021-03-03,70,75,6
2021-03-10,72,73,6
2021-03-17,71,74,6
2021-03-24,72,73,6
2021-03-31,74,71,6
2021-04-07,73,72,6
2021-04-14,74,71,6
2021-04-21,74,71,6
2021-04-28,72,73,6
2021-05-05,73,72,6
2021-05-12,73,72,6
2021-05-19,75,70,6
2021-05-26,74,71,6
2021-06-02,74,71,6
2021-06-09,75,70,6
2021-06-16,74,71,6
2021-06-23,74,71,6
2021-06-30,75,70,6
2021-07-07,74,71,6
2021-07-14,75,70,6
2021-07-21,76,69,6
2021-07-28,77,68,6
2021-08-04,77,68,6
2021-08-11,78,68,6
2021-08-18,78,67,6
2021-08-25,76,69,6
2021-09-01,77,68,6
2021-09-08,77,68,6
2021-09-15,77,68,6
2021-09-22,76,69,6
2021-09-29,76,69,6
2021-10-06,76,69,6
2021-10-13,76,69,6
2021-10-20,77,68,6
2021-10-27,77,68,6
2021-11-03,76,69,6
2021-11-10,77,68,6
2021-11-17,76,69,6
2021-11-24,77,68,6
2021-12-01,77,68,6
2021-12-08,77,68,6
2021-12-15,79,66,6
2021-12-22,79,66,6
2021-12-29,76,69,6
2022-01-05,77,68,6
2022-01-12,78,67,6
2022-01-19,78,67,6
2022-01-26,78,67,6
2022-02-02,79,66,6
2022-02-09,81,64,6
2022-02-16,81,64,6
2022-02-23,82,63,6
2022-03-02,82,63,6
2022-03-09,83,62,6
2022-03-16,84,61,6
2022-03-23,84,61,6
2022-03-30,83,62,6
2022-04-06,85,60,6
