,nLabor,nLib,nThird,Winner
244,0,145,6,Coalition
245,0,145,6,Coalition
246,0,145,6,Coalition
247,0,145,6,Coalition
248,0,145,6,Coalition
249,0,145,6,Coalition
250,0,145,6,Coalition
251,0,145,6,Coalition
252,0,145,6,Coalition
253,0,145,6,Coalition
254,0,145,6,Coalition
255,0,145,6,Coalition
256,0,145,6,Coalition
257,0,145,6,Coalition
258,0,145,6,Coalition
259,0,145,6,Coalition
260,0,145,6,Coalition
261,0,145,6,Coalition
262,0,145,6,Coalition
263,0,145,6,Coalition
264,0,145,6,Coalition
265,0,145,6,Coalition
266,0,145,6,Coalition
267,0,145,6,Coalition
268,0,145,6,Coalition
269,0,145,6,Coalition
270,0,145,6,Coalition
271,0,145,6,Coalition
272,0,145,6,Coalition
273,0,145,6,Coalition
274,0,145,6,Coalition
275,0,145,6,Coalition
276,0,145,6,Coalition
277,0,145,6,Coalition
278,0,145,6,Coalition
279,0,145,6,Coalition
280,0,145,6,Coalition
281,0,145,6,Coalition
282,0,145,6,Coalition
283,0,145,6,Coalition
284,0,145,6,Coalition
285,0,145,6,Coalition
286,0,145,6,Coalition
287,0,145,6,Coalition
288,0,145,6,Coalition
289,0,145,6,Coalition
290,0,145,6,Coalition
291,0,145,6,Coalition
292,0,145,6,Coalition
293,0,145,6,Coalition
294,0,145,6,Coalition
295,0,145,6,Coalition
296,0,145,6,Coalition
297,0,145,6,Coalition
298,0,145,6,Coalition
299,0,145,6,Coalition
300,0,145,6,Coalition
301,0,145,6,Coalition
302,0,145,6,Coalition
303,0,145,6,Coalition
304,0,145,6,Coalition
305,0,145,6,Coalition
306,0,145,6,Coalition
307,0,145,6,Coalition
308,0,145,6,Coalition
309,0,145,6,Coalition
310,0,145,6,Coalition
311,0,145,6,Coalition
312,0,145,6,Coalition
313,0,145,6,Coalition
314,0,145,6,Coalition
315,0,145,6,Coalition
316,0,145,6,Coalition
317,0,145,6,Coalition
318,0,145,6,Coalition
319,0,145,6,Coalition
320,0,145,6,Coalition
