Division,Result19,Result16,Result13,State,Region,2-Party-Contest
McPherson,0.622,0.628,0.6925,QLD,Regional,Yes
Melbourne,0.718,0.69,0.5356,VIC,City,No
Menzies,0.425,0.422,0.3555,VIC,Suburban,Yes
Mitchell,0.314,0.322,0.2792,NSW,Suburban,Yes
Monash,0.426,0.424,0.3205,VIC,Regional,Yes
Moncrieff,0.346,0.354,0.3814,QLD,Regional,Yes
Moore,0.383,0.389,0.5155,WA,Suburban,Yes
Moreton,0.519,0.54,0.2913,QLD,City,Yes
New England,0,0.021,0.2929,NSW,Regional,Yes
Newcastle,0.638,0.638,0.5883,NSW,City,Yes
Nicholls,0.3,0.275,0.3411,VIC,Regional,Yes
North Sydney,0.407,0.364,0.3275,NSW,City,Yes
O'Connor,0.355,0.349,0.5377,WA,Regional,Yes
Oxley,0.564,0.59,0.4748,QLD,Suburban,Yes
Page,0.406,0.477,0.2765,NSW,Regional,Yes
Parkes,0.331,0.349,0.5057,NSW,Regional,Yes
Parramatta,0.535,0.577,0.4022,NSW,City,Yes
Paterson,0.55,0.607,0.4194,NSW,Regional,Yes
Pearce,0.425,0.464,0.5435,WA,Suburban,Yes
Perth,0.549,0.533,0.4947,WA,City,Yes
Petrie,0.416,0.484,0.6402,QLD,Suburban,Yes
Rankin,0.564,0.613,0.5478,QLD,Suburban,Yes
Reid,0.468,0.453,0.4915,NSW,City,Yes
Richmond,0.541,0.54,0.5298,NSW,Regional,Yes
Riverina,0.305,0.335,0.2883,NSW,Regional,Yes
Robertson,0.458,0.489,0.47,NSW,Regional,Yes
Ryan,0.44,0.41,0.4146,QLD,Suburban,Yes
Scullin,0.717,0.696,0.6435,VIC,Suburban,Yes
Shortland,0.544,0.599,0.5721,NSW,Regional,Yes
Solomon,0.531,0.581,0.486,NT,City,Yes
Spence,0.641,0.691,0.397,SA,Suburban,Yes
Stirling,0.444,0.439,0.3992,WA,City,Yes
Sturt,0.431,0.446,0.4347,SA,City,Yes
Swan,0.473,0.464,0.6465,WA,City,Yes
Sydney,0.687,0.653,0.3533,NSW,City,Yes
Tangney,0.385,0.389,0.5777,WA,City,Yes
Wannon,0.396,0.408,0.534,VIC,Regional,Yes
Warringah,0,0.183,0.3993,NSW,City,No
Watson,0.635,0.676,0.3465,NSW,City,Yes
Wentworth,0,0.164,0.5681,NSW,City,Yes
Werriwa,0.555,0.582,0.3228,NSW,Suburban,Yes
Whitlam,0.609,0.637,0.5224,NSW,City,Yes
Wide Bay,0.369,0.419,0.3684,QLD,Regional,Yes
Wills,0.582,0.55,0.7076,VIC,City,Yes
Wright,0.352,0.402,0.3816,QLD,Regional,Yes
